Name,Created,Tags,Text
小鸟张嘴,"March 21, 2024 10:34 PM",,"　　夜晚那轮圆月都成了笑脸
　　像在嘲笑你失去爱情
　　也失去了弥补挽留的机会
　　你是我心儿上纯洁的诗
　　我曾想要用生命为你献祭
　　姑娘啊姑娘永别了
　　今生今世再也不会遇见
　　整个夏天甚至秋天
　　都会沉浸于离别的哀伤中
　　你瞧瞧！百香树枝头上
　　美丽的小鸟张嘴唱歌
　　它唱浪淘沙啊浪淘沙
　　你有你的乐园有你的宿命
　　你别灰心也别放弃
　　你要在实践中证明自己
　　2022.6.21象牙塔·钱馆

"
把名字写在天空,"March 21, 2024 10:34 PM",,"　　我曾经幼稚得像山里的孩子
　　整天幻想着天上掉馅饼
　　我曾经天真得相信努力会有回报
　　只是傻傻地告诫自己努力啊
　　后来，忧伤让我深刻理解人生
　　我终于抛弃了幻想着天上
　　掉下馅饼，戳破孩子的肥皂泡
　　也许，我还是曾经那个自己
　　那个在诗句里穿行的少年
　　但又不全是，不全是痴人儿
　　我不安于现状，有着勃勃野心
　　我出身贫寒却不甘于寂寞
　　我没有资源却发誓创造奇迹
　　我要用汗水把名字写在天空
　　让天底下所有人可以瞧见

"
以温柔的目光注视你,"March 21, 2024 10:34 PM",,"　　柳树和芦苇丛，有鸟儿编织鸟巢。
　　柔顺的柳条，随清风轻轻摇曳……
　　这时，河水冒泡，冒出血红的泡泡。
　　心已死，适可而止，有情人的眼泪。
　　孤零零仰躺在荒原，我彻夜仰望星空。
　　人生是苦，回首苍凉，孰是孰非？
　　鸟饱尝芳香的美果，我却心如死灰，
　　像山顶的积雪，被太阳晒得融化成水。
　　她心潮起伏，火焰在胸膛燃烧，
　　微笑留在她嘴角，她好像有话要说：
　　情人的眼泪，全是虚假的，别相信
　　世界与你无关，它走远，或许毫不存在
　　白杨树生长的地方，我的情思环绕你、
　　陪伴你、思念你，以温柔的目光注视你。

"
竹笋,"March 21, 2024 10:34 PM",,"　　冬天暖夏天凉
　　窗外的梧桐像甜筒
　　这是钱学森图书馆
　　我还在这写诗
　　埋在地里的小竹笋
　　汲取文学的力量
　　等待雨后破土为春
　　钱馆的小竹笋
　　有浪漫甚至理想岁月
　　那是淙淙的清流
　　弯弯小溪流淌清泓
　　2020.6.11象牙塔·钱馆

"
避难所,"March 21, 2024 10:34 PM",,"　　有些阅读为考试为技能
　　不是心目中的阅读，我以为它
　　不教你谋生不教你世故圆滑
　　心中所指的阅读是享受
　　不是负担，是乐意沉浸其中
　　可以把这个世界遗忘
　　诱惑远胜勾引销魂的姑娘
　　筑造避难所逃离悲哀
　　它是随身携带的避难所
　　驻扎着高贵的灵魂
　　还有梦幻般享受的愉悦
　　你是最好的理论批评家
　　激活头脑、散文诱惑感官
　　而诗歌让你的灵魂高涨
　　寻找优秀的文学作品
　　迟早，你都会有
　　富饶而轻盈的心灵
　　2020.1.7象牙塔·钱馆

"
路上独行,"March 21, 2024 10:34 PM",,"　　群山绵延小路弯弯曲曲
　　远看像游弋的乌梢
　　傍晚我独自走在这样的路上
　　瞧见斑鸠啄食，附近
　　枫香树上有喜鹊喳喳地叫着
　　抬头极目远眺西边那座山
　　山头上正燃烧着白云
　　满山遍野驻扎夜晚的温柔
　　山色昭示我的诗与远方
　　我想起佛祖他可以降妖伏魔
　　我绝对不能再为往事伤感
　　我要创造我的奇迹
　　兑现曾用青春许下的诺言
　　现在走在乡间的路上
　　享受着孤独聆听蟋蟀的歌唱
　　就这样告别我的青春
　　2022.8.11故乡·大堡村

"
星星碎了满夜空,"March 21, 2024 10:34 PM",,"　　天上的星星，我许久未曾撞见。
　　地上的人儿，也许，再也不见。
　　温柔的姑娘，我想把你迎娶~~
　　用星星的碎片，为你搭建世界。
　　静谧的夜，温柔的水，还有流星……
　　那晚，我在图书馆漫无目的地找寻，
　　心想，即便人离去，记忆也还在。
　　我只记得有你，却忘记了我的存在。
　　铁道星河之夜，阅读星星点点，
　　用星星的碎片，点燃前世的乡愁！
　　遥远的村庄，月亮悄然爬出地平线。
　　千追万寻的东西已失去了意义。
　　用星星的碎片，为你搭建世界。
　　我的思念化作星星，碎了满夜空。
　　然而，星星不明白太阳的热烈~~
　　就像你感受不到，我爱你有多深。

"
迷失的南北,"March 21, 2024 10:34 PM",,"　　在像游戏那样的人世间
　　饲养恶魔无关道德
　　有时，优美的句子断了
　　不屈服也不愿放弃
　　我勇敢地追寻自我的归属
　　花瓣被碾碎心不会死
　　深爱着这个糟糕的世界
　　让语言文字去控诉
　　窗外云朵像停泊的帆船
　　苍茫云海仙踪的感觉
　　有时我像活在梦境深处
　　觉得生活残忍太严酷
　　慌慌张张的，找不着南北
　　2022.6.11象牙塔·钱馆

"
献给热爱的你,"March 21, 2024 10:34 PM",,"　　你是且在人间的精卫鸟
　　你衔着木棍儿想要填补海洋
　　你是推石头的西西弗斯
　　你推石头上山却滚落人间
　　与书籍结缘它为你召唤
　　珍贵诗意的情思
　　看不见它却充盈人生
　　你知道凤凰的湘西小县城
　　也明白，翁布诺萨是谁的故乡
　　博尔赫斯失去光明瞬间
　　没有命运的安排，只是热爱
　　热爱读书的人请你记住
　　认准了目标就走下去
　　别浪费时间，耽误了行程
　　2021.12.3象牙塔·钱馆

"
寒窗,"March 21, 2024 10:34 PM",,"　　走不到尽头，也难以翻山
　　路太远我们的山太高
　　就只能透过寒窗展望未来
　　在孤寂的岁月沉下心
　　追随清风追寻心里的歌声
　　用时间换来空间
　　让我翻书时觉着心儿逍遥
　　像有蜂蜜从心头流出
　　走向远方即便还是会有远方
　　像我家跟前的山翻了翻
　　以后还是相似的山让你绝望
　　来自山村是农民的孩子
　　我知道，寒窗对人生的意义
　　可以通向幸福与未来
　　2022.8.8故乡·大堡村

"
槭树下的家,"March 21, 2024 10:34 PM",,"　　某天傍晚，我走进书店
　　瞧见《槭树下的家》
　　触景生情想起灵巧的女孩
　　她在很短时间走进我的心
　　我却喜欢她很久很久
　　久远到用很长时间忘却
　　我曾把她当生命里的太阳
　　幻想着与她有个小家
　　然而，爱得不到姑娘的认可
　　让我做了岁月边上的过客
　　但我并不懊悔因为她让
　　我成长还给我温暖的回忆

"
献给海子的诗,"March 21, 2024 10:34 PM",,"　　花了好几天，今天读完啦
　　海子的诗全集，主编是西川
　　亲爱的海子，山海关，那是
　　你生命终结的地方，我知道
　　亲爱的海子，我不知何时起
　　迷茫的青春，老在心头纠结
　　诗意，宣泄了鱿鱼的悲伤
　　诗歌，燃烧起青年的文学梦
　　你为情而粟，也为情而亡
　　情为何物？或许，生死相随
　　卧轨，那是你的权利，可是
　　你轻生，那就是，你的不对
　　死亡并不辉煌，你我都知道
　　身体如烂泥，是生命哭诉
　　也是生命的绝望，风吹血冷
　　寂静的月光散落带血的铁轨
　　现实主义泛滥，横行，弥漫
　　文艺这词儿，似失去了光彩
　　浪漫主义暗淡，消亡，式微
　　诗歌这词儿，似失去了生命
　　你的死，就是现实主义泛滥
　　你的亡，就是浪漫主义消亡
　　这，我写给你的诗，愿安好
　　写得不好，也莫怪，也无妨

"
山坳里写诗,"March 21, 2024 10:34 PM",,"　　清晨鸡鸭遍地的村寨
　　咯咯哒，嘎嘎，与汪汪
　　这儿山村像首诗
　　大中午鸡跟鸭在说话
　　我在山坳里写诗
　　啊！太阳啊，月亮鸭
　　傍晚山头边上的太阳
　　燃烧灰烬的余热
　　死活不肯滚下山去
　　我在山坳里写诗
　　只为减轻文字的重量
　　远方神秘的呼唤
　　诉说着心声
　　就在山坳里写诗
　　2022.7.19故乡·大堡村

"
你的朋友,"March 21, 2024 10:34 PM",,"　　我要穷尽诗歌与小说
　　我要翻阅书籍跟智慧
　　我把心沉到深邃海洋
　　我把井挖到大地深处
　　我要攫取海洋的资源
　　我要造就泉水的喷涌
　　我把自己托付给未来
　　我把自己卖身于命运
　　我要脱颖而独领风骚
　　我要挣脱后破茧成蝶
　　我把青春献给图书馆
　　我把爱情葬身了鱼肚
　　我把现实踩在了脚下
　　我把规矩抛到了身后
　　我要为我的信念而活
　　我要为我的理想而冲
　　你的朋友就是要把他
　　化身为神要超凡脱俗
　　2021.4.5象牙塔·钱馆

"
神奇宝贝,"March 21, 2024 10:34 PM",,"　　朋友！活下去才是天地
　　才有理想与信念可言
　　我们走在风雨的大路上
　　渴求的不那么繁重
　　有些磕磕碰碰自己找来
　　不是对错而是命运
　　命运啊，可神奇可神奇
　　告诉我如果跟即使
　　如果人生注定波澜壮阔
　　即使生活在静谧的小山村
　　日子也会风起云涌
　　如果人生注定庸庸碌碌
　　即使出生在帝王的枕头边
　　日子也会微澜死水
　　2021.4.19象牙塔·钱馆

"
悟空,"March 21, 2024 10:34 PM",,"　　石头里蹦出个孙猴儿
　　纵身跃进水帘洞
　　东胜神洲海外傲来国
　　摇身花果山美猴王
　　漂到海洋那边闯入
　　灵台方寸山斜月三星洞
　　菩提祖师爷收猴儿
　　孙悟空：我有名字啦
　　田园将芜胡不归
　　教踩筋斗云归去来兮
　　太白金星请上天
　　弼马温放马吃蟠桃
　　大闹天宫与天齐
　　自由与反抗
　　我是这天地的老大
　　我惹事了我招惹了谁
　　被佛压在五行山下
　　五百年春秋寒暑易节
　　菩萨我知道错了
　　2021.4.7象牙塔·钱馆

"
排遣孤独,"March 21, 2024 10:34 PM",,"　　心累了疲惫了厌倦了
　　想出去走走转转
　　他娘的乖孩子当久了
　　得找个地方撒野
　　不接受现实不认可世道
　　企图改写苍白人生
　　可理想与现实的激荡
　　眼看着人格要撕裂
　　岁月让我理解了冲突
　　又巧合般停住步伐
　　饱满激愤的生命张力
　　迫使宣泄迫使输出
　　喷薄的欲望像鱼泉河
　　排遣孤独的良药
　　2021.4.20象牙塔·钱馆

"
书桌边上,"March 21, 2024 10:34 PM",,"　　鹅卵石
　　小脸红扑扑的
　　鹅卵石背后
　　有着外教的祝福
　　将军俑
　　严肃、正经的人
　　有自我意识
　　别再吊耳啷当
　　塑胶花
　　少年那些鱼儿
　　死后我把鱼缸丢掉
　　留点假绿色
　　小瓷人
　　他举着小酒杯
　　告诉我
　　你要潇潇洒洒
　　空杯子
　　我不怎么用杯子
　　送给你做纪念
　　好，我把它摆跟前
　　2021.3.2象牙塔·钱馆

"
神,"March 21, 2024 10:34 PM",,"　　神创造了万物
　　给了我信念
　　神主宰了苍穹
　　给了我理想
　　神掌握了成败
　　给了我命运
　　如果没有了神
　　就没有神话
　　如果没有了神
　　就没有奇迹
　　如果没有了神
　　就没有信仰
　　即便你不信神
　　也要敬畏神
　　2021.4.22象牙塔·崇实

"
崇高的人,"March 21, 2024 10:34 PM",,"　　欣赏那些为了崇高理想
　　愿意卑微活着的人
　　哪怕就是失败千万次
　　也不轻言放弃
　　因为他们信念足够坚定
　　内心强大意志坚韧
　　还对生命保持着激情
　　努力让岁月把忧伤风干
　　年老时用来下酒

"
可怜阅读者,"March 21, 2024 10:34 PM",,"　　凉城戏曲奈何天，原来欢喜，似这般都付了流水。不早成佳配，挥掷年华，终追忆年华。如花美眷，流年似水，落寞顾影自香怜。夜凉独自闹情绪。残红满地，陡增殇情。恨平生清寒。
　　黄灯数词夜竟深，还道平生，仿若白日梦见南柯。觅知音稀罕，意气书生，毕竟是书生。音知尘绝，遗憾今宵，剩余满腔都郁闷。哪知伤心难计数。半夜蛐蛐，倍感寂寞。可怜阅读者。

"
山那边,"March 21, 2024 10:34 PM",,"　　山那边不是海
　　山那边是山
　　山村那边不是海
　　山村那边是山
　　我知道并理解
　　山是青春的坟墓
　　所以我断定
　　山那边肯定不是海
　　山那边是山
　　2020.3.17象牙塔·钱馆

"
坐看云起,"March 21, 2024 10:34 PM",,"　　多年以后我梦见自己
　　还在图书馆读诗
　　我依稀可见记忆的灰烬
　　小船在秋波深处荡漾
　　黑夜遮住了太阳，而我
　　闲来无事只在思念
　　我想念任性荒唐的青春
　　我想念美丽的温柔
　　我想念我曾不管不顾地爱
　　爱人生爱生活爱姑娘爱
　　此刻窗外的红旗，与桐叶
　　尝遍人间欢乐跟忧伤
　　不再年轻，也不再激进
　　只把想念藏心底
　　步行到水穷处坐看云起
　　2021.5.24象牙塔·钱馆

"
青春,"March 21, 2024 10:34 PM",,"　　押韵的音乐
　　像情话如温柔的夜晚
　　小河般在流淌
　　你且听我吟诵
　　夕阳染红的天际
　　时间深处延续
　　2020.1.27故乡·大堡村

"
贼船,"March 21, 2024 10:34 PM",,"　　我的人生像艏贼船
　　作为贼船的船长
　　我尊重并理解有些人
　　眼看着贼船将下沉
　　退场并选择离去
　　也会在暴风雨来临前
　　赶走摇摆不定的人
　　但我更欢迎朋友加盟
　　随着盟友越来越多
　　贼船行稳致远、乘风
　　破浪驶到大海那边
　　狗
　　我现在是属狗脸的
　　谁给肉吃就为谁汪汪
　　我现在是属狗脸的
　　谁给骨头就为谁汪汪
　　我现在是属狗脸的
　　对给予饭碗群体必须
　　摇头摆尾卑躬屈膝
　　因为我誓死追随理想
　　必须懂得听话服从

"
鸢尾花,"March 21, 2024 10:34 PM",,"　　有时造化弄人
　　谁都无法预知未来
　　路边的鸢尾花随风飘扬
　　我仔细端详着她
　　眉宇间让我想起了谁
　　许多年后我还牵挂
　　当初那个女孩，我知道
　　女孩已经不属于我
　　可她赋予了我某个梦想
　　还把文学送进我人生
　　每当我想起文学的引路人
　　我会想起她想起她
　　那让男孩心动不已的脸
　　如果可以重来
　　我愿意用所有换她点头
　　而不是在回忆中缅怀
　　缅怀逝去的青春
　　与苦涩而忧伤的回忆
　　2021.4.21象牙塔·钱馆

"
凤仙花,"March 21, 2024 10:34 PM",,"　　走到房后，水稻已抽穗
　　飘着小片小片的白色花瓣
　　而油绿的它们即将泛黄
　　立秋以后自是流火的七月
　　蓝蜻蜓红蜻蜓灰色蜻蜓
　　在水稻田上空，飞来飞去
　　回头，还是熟悉的场景
　　凤仙花站在路边轻轻摇曳
　　像是在为我唱歌、舞蹈
　　粉色的花瓣飘落草丛深处
　　凤仙花凤仙花你的花苞
　　让孩儿忍不住想要去触摸
　　正是那奔放活跃的跳跃感
　　赋予我们童年满是欢乐
　　转眼间，曾是野孩子的我
　　已长大再也回不到曾经

"
青春的诗,"March 21, 2024 10:34 PM",,"　　我迷恋的，不是那个地方
　　而是某种诗意的感觉
　　这感觉像青春期的姑娘
　　永远活在我的记忆
　　忽然怀念起钱学森图书馆
　　怀念在那里热血沸腾
　　那时，诗人的野心勃勃燃烧
　　使我活在梦幻般文学世界
　　啊，我翻阅沉甸甸的书籍
　　噼里啪啦敲击键盘
　　一两首、一两天，那个样儿
　　不知觉间写完青春的诗
　　后来听从生命的召唤
　　回到生养我的地方，我知道
　　很久很久都不会回去了
　　2022.8.1故乡·大堡村

"
小男人,"March 21, 2024 10:34 PM",,"　　远山淡影阳光跑在书上
　　静谧时光里读书
　　累了倦了抬头眺望远方
　　群山之巅蓝天白云
　　像停泊的帆船。我回厨房
　　去烧火、煮饭，炒菜
　　锅碗瓢盆、柴米油盐的地方
　　是的，没骗你！是厨房
　　厨房里的小男人
　　小男人每天忙着煮饭、炒菜
　　最辉煌的是他曾独立
　　完成三桌子的饭菜！三桌
　　有人有雄心有人却想
　　做自己热爱且相信的事
　　2020.3.12故乡·大堡村

"
飘了,"March 21, 2024 10:34 PM",,"　　沉静在文学的世界
　　像精灵那样飞翔
　　我脱离人类的大地
　　逐渐飘了起来
　　我偶尔会厌倦夜晚
　　觉着孤独像毒酒
　　摧残了少年的青春
　　现在，我却明白
　　孤独让人享受生活
　　不仅享受还聆听
　　心的声音，鼓起劲
　　不顾重重的险阻
　　勇敢往前，走去闯
　　荆棘重生也决心
　　让角落的那朵玫瑰
　　为我舒展而我则
　　轻唱后由夜莺评判
　　夜莺啊夜莺，你说
　　我是不是飘了
　　2022.7.20故乡·大堡村

"
我曾是个蹩脚的诗人,"March 21, 2024 10:34 PM",,"　　若干年以后，风轻云淡
　　看着天边停泊的白云，我想起
　　我曾是个蹩脚的诗人。
　　蹩脚的诗人？蹩脚？是的。
　　我写过很多情书，我也写过
　　很多诗歌，包括许多情诗
　　可是，诚挚的爱情没有回应
　　那些情书，与情诗告诉我：
　　我曾是个蹩脚的诗人。
　　蹩脚的诗人！蹩脚！是的。
　　可我不后悔，爱的真诚。
　　昂贵的代价也是我的命运
　　蹩脚的诗人～～轻声念着它，
　　忽然发觉，它是我的青春。
　　青春，以蹩脚的诗人，为荣！

"
